04-12-2022 15:28:59 WARN  TestResultLoggerExtension:52 - Test Failed for test: Login with Enter key due to cause: org.openqa.selenium.InvalidArgumentException
04-12-2022 15:29:00 WARN  TestResultLoggerExtension:52 - Test Failed for test: Incorrect Password due to cause: org.openqa.selenium.InvalidArgumentException
04-12-2022 15:29:02 WARN  TestResultLoggerExtension:52 - Test Failed for test: Login on different link with correct credentials due to cause: org.openqa.selenium.InvalidArgumentException
04-12-2022 15:29:03 WARN  TestResultLoggerExtension:52 - Test Failed for test: Empty Credentials due to cause: org.openqa.selenium.InvalidArgumentException
04-12-2022 15:29:04 WARN  TestResultLoggerExtension:52 - Test Failed for test: Incorrect Username due to cause: org.openqa.selenium.InvalidArgumentException
04-12-2022 15:29:05 WARN  TestResultLoggerExtension:52 - Test Failed for test: Correct username and password due to cause: org.openqa.selenium.InvalidArgumentException
04-12-2022 15:29:05 WARN  TestResultLoggerExtension:26 - Test result summary for TestLogin {FAILED=6}
05-12-2022 08:59:36 WARN  TestResultLoggerExtension:52 - Test Failed for test: Login with Enter key due to cause: org.openqa.selenium.InvalidArgumentException
05-12-2022 08:59:37 WARN  TestResultLoggerExtension:52 - Test Failed for test: Incorrect Password due to cause: org.openqa.selenium.InvalidArgumentException
05-12-2022 08:59:39 WARN  TestResultLoggerExtension:52 - Test Failed for test: Login on different link with correct credentials due to cause: org.openqa.selenium.InvalidArgumentException
05-12-2022 08:59:40 WARN  TestResultLoggerExtension:52 - Test Failed for test: Empty Credentials due to cause: org.openqa.selenium.InvalidArgumentException
05-12-2022 08:59:41 WARN  TestResultLoggerExtension:52 - Test Failed for test: Incorrect Username due to cause: org.openqa.selenium.InvalidArgumentException
05-12-2022 08:59:43 WARN  TestResultLoggerExtension:52 - Test Failed for test: Correct username and password due to cause: org.openqa.selenium.InvalidArgumentException
05-12-2022 08:59:43 WARN  TestResultLoggerExtension:26 - Test result summary for TestLogin {FAILED=6}
05-12-2022 09:25:13 WARN  TestResultLoggerExtension:52 - Test Failed for test: Correct username and password due to cause: org.openqa.selenium.InvalidArgumentException
05-12-2022 09:25:13 WARN  TestResultLoggerExtension:26 - Test result summary for TestLogin {FAILED=1}
05-12-2022 09:28:51 WARN  TestResultLoggerExtension:52 - Test Failed for test: Empty Credentials due to cause: org.openqa.selenium.InvalidArgumentException
05-12-2022 09:28:51 WARN  TestResultLoggerExtension:26 - Test result summary for TestLogin {FAILED=1}
05-12-2022 09:31:27 WARN  TestResultLoggerExtension:52 - Test Failed for test: Correct username and password due to cause: org.openqa.selenium.InvalidArgumentException
05-12-2022 09:31:27 WARN  TestResultLoggerExtension:26 - Test result summary for TestLogin {FAILED=1}
05-12-2022 09:44:26 WARN  TestResultLoggerExtension:52 - Test Failed for test: Empty Credentials due to cause: org.openqa.selenium.InvalidArgumentException
05-12-2022 09:44:26 WARN  TestResultLoggerExtension:26 - Test result summary for TestLogin {FAILED=1}
05-12-2022 09:46:10 WARN  TestResultLoggerExtension:39 - Test Successful for test: Empty Credentials
05-12-2022 09:46:10 WARN  TestResultLoggerExtension:26 - Test result summary for TestLogin {SUCCESSFUL=1}
21-11-2022 09:35:35 WARN  TestResultLoggerExtension:37 - Test Successful for test: [1] Main Testing Project
21-11-2022 09:35:59 WARN  TestResultLoggerExtension:50 - Test Failed for test: [1] Main Testing Project, Story due to cause: org.openqa.selenium.NoSuchElementException
21-11-2022 09:36:34 WARN  TestResultLoggerExtension:50 - Test Failed for test: [1] Create subtask for JETI project, JETI, JETI-1 due to cause: org.opentest4j.AssertionFailedError
